id,name,categories,intro,website,twitter,status,round,date,icon
stratos-network,Stratos Network,DePIN,"Building the next generation of decentralized data mesh",https://www.thestratos.org,https://x.com/Stratos_Network,Upcoming,Not started,30 Dec 2024,icons/stratos-network.png
push-protocol,Push Protocol,Wallet,"The communication layer of Web3",https://push.org,https://x.com/pushprotocol,Live,Seed,2024,icons/push-protocol.png
